Transaction_ID,Date,Year,Month,Day,User_ID,Transaction_Type,Category,Amount,Balance_After,Payment_Mode,Status,Merchant_Name,Location
TXN00001,2024-07-15,2024,Jul,15,U159,Money Spent,Cashback,18998.04,7171.66,Mobile No,Success,Flipkart,Delhi
TXN00002,2025-01-02,2025,Jan,2,U129,Money Added,Shopping,3492.71,46448.76,Mobile No,Success,-,Pune
TXN00003,2024-06-13,2024,Jun,13,U165,Money Sent,Shopping,8983.52,40856.72,Wallet,Failed,Flipkart,Delhi
TXN00004,2023-02-19,2023,Feb,19,U110,Money Added,Bills,10000.07,46706.67,Bank Transfer,Pending,-,Chennai
TXN00005,2023-07-28,2023,Jul,28,U175,Money Added,Travel,13560.07,31177.56,UPI ID,Pending,-,Hyderabad
TXN00006,2024-01-29,2024,Jan,29,U98,Money Added,Entertainment,8766.44,35237.52,QR Code,Success,-,Delhi
TXN00007,2024-12-09,2024,Dec,9,U163,Money Sent,Bills,5025.75,37281.02,Bank Transfer,Success,Amazon,Delhi
TXN00008,2023-02-22,2023,Feb,22,U43,Money Spent,Entertainment,13529.49,24936.8,Bank Transfer,Pending,Uber,Pune
TXN00009,2025-01-13,2025,Jan,13,U150,Money Spent,Food,3373.69,38052.0,Mobile No,Success,Flipkart,Mumbai
TXN00010,2024-02-10,2024,Feb,10,U179,Money Spent,Investment,19777.85,6714.57,Bank Transfer,Pending,Amazon,Pune
TXN00011,2023-10-07,2023,Oct,7,U195,Money Sent,Entertainment,16973.69,3156.57,UPI ID,Success,BigBasket,Kolkata
TXN00012,2023-02-17,2023,Feb,17,U49,Money Spent,Entertainment,17494.11,11257.43,QR Code,Pending,Netflix,Bangalore
TXN00013,2023-05-30,2023,May,30,U77,Money Spent,Groceries,7656.86,15768.76,Mobile No,Success,Flipkart,Delhi
TXN00014,2023-08-23,2023,Aug,23,U83,Money Sent,Bills,17771.45,16539.56,Mobile No,Failed,Swiggy,Mumbai
TXN00015,2024-02-08,2024,Feb,8,U30,Money Sent,Shopping,4981.37,2979.56,QR Code,Failed,BigBasket,Mumbai
TXN00016,2024-11-12,2024,Nov,12,U121,Money Added,Cashback,17920.86,36775.83,Mobile No,Success,-,Delhi
TXN00017,2024-07-07,2024,Jul,7,U132,Money Sent,Investment,5561.86,45534.8,UPI ID,Failed,Zomato,Hyderabad
TXN00018,2024-03-03,2024,Mar,3,U75,Money Spent,Entertainment,13045.67,14702.55,Wallet,Failed,Electricity Board,Delhi
TXN00019,2023-04-08,2023,Apr,8,U44,Money Added,Bills,8386.37,7800.21,Mobile No,Pending,-,Delhi
TXN00020,2023-10-14,2023,Oct,14,U15,Money Spent,Bills,12068.72,539.09,QR Code,Failed,Uber,Hyderabad
TXN00021,2023-07-11,2023,Jul,11,U200,Money Spent,Investment,7177.63,13774.99,Mobile No,Pending,Swiggy,Mumbai
TXN00022,2023-09-27,2023,Sep,27,U30,Money Sent,Travel,7686.98,38377.94,UPI ID,Pending,Flipkart,Chennai
TXN00023,2025-02-13,2025,Feb,13,U173,Money Spent,Food,15987.07,7247.36,UPI ID,Pending,Zomato,Hyderabad
TXN00024,2023-10-16,2023,Oct,16,U121,Money Spent,Shopping,3269.84,35834.8,QR Code,Failed,Electricity Board,Bangalore
TXN00025,2024-03-12,2024,Mar,12,U54,Money Spent,Shopping,3488.99,45052.03,Mobile No,Pending,Netflix,Delhi
TXN00026,2024-07-03,2024,Jul,3,U135,Money Spent,Shopping,4478.7,3383.57,UPI ID,Success,IRCTC,Delhi
TXN00027,2023-04-30,2023,Apr,30,U32,Money Added,Cashback,15931.55,8808.47,UPI ID,Failed,-,Chennai
TXN00028,2023-04-24,2023,Apr,24,U185,Money Sent,Entertainment,9321.7,23227.67,UPI ID,Success,Swiggy,Pune
TXN00029,2024-05-29,2024,May,29,U68,Money Added,Rent,1025.32,38752.3,Bank Transfer,Success,-,Delhi
TXN00030,2023-10-08,2023,Oct,8,U145,Money Spent,Cashback,8479.65,46807.91,Mobile No,Pending,Electricity Board,Bangalore
TXN00031,2023-12-26,2023,Dec,26,U96,Money Spent,Entertainment,16428.77,43833.5,QR Code,Success,Uber,Kolkata
TXN00032,2023-08-23,2023,Aug,23,U53,Money Spent,Cashback,8888.33,27022.04,QR Code,Failed,Netflix,Bangalore
TXN00033,2024-02-20,2024,Feb,20,U200,Money Sent,Rent,16756.45,22781.53,Wallet,Failed,Zomato,Pune
TXN00034,2023-04-22,2023,Apr,22,U134,Money Sent,Rent,5769.49,25589.26,UPI ID,Pending,Flipkart,Pune
TXN00035,2023-06-30,2023,Jun,30,U149,Money Sent,Travel,1135.49,38063.74,QR Code,Failed,Uber,Kolkata
TXN00036,2024-04-06,2024,Apr,6,U8,Money Sent,Rent,3066.01,29123.0,Bank Transfer,Success,BigBasket,Mumbai
TXN00037,2023-06-22,2023,Jun,22,U91,Money Spent,Entertainment,19872.06,7533.73,UPI ID,Success,Zomato,Pune
TXN00038,2024-04-10,2024,Apr,10,U98,Money Added,Shopping,13690.07,29689.59,Mobile No,Pending,-,Delhi
TXN00039,2024-12-07,2024,Dec,7,U113,Money Added,Groceries,2804.3,11119.03,Bank Transfer,Failed,-,Bangalore
TXN00040,2023-03-23,2023,Mar,23,U41,Money Spent,Investment,11522.54,40380.72,Bank Transfer,Success,Netflix,Chennai
TXN00041,2024-07-10,2024,Jul,10,U59,Money Spent,Entertainment,663.3,12560.03,QR Code,Success,Flipkart,Pune
TXN00042,2024-04-20,2024,Apr,20,U79,Money Added,Travel,11634.1,40787.73,UPI ID,Success,-,Delhi
TXN00043,2024-12-27,2024,Dec,27,U169,Money Added,Cashback,5478.73,35031.7,Wallet,Failed,-,Bangalore
TXN00044,2024-01-12,2024,Jan,12,U25,Money Spent,Shopping,5362.52,47766.75,UPI ID,Success,Zomato,Hyderabad
TXN00045,2023-09-01,2023,Sep,1,U73,Money Added,Travel,13022.99,2860.92,Wallet,Success,-,Bangalore
TXN00046,2023-06-13,2023,Jun,13,U121,Money Added,Bills,6462.41,44337.92,Wallet,Success,-,Mumbai
TXN00047,2023-11-24,2023,Nov,24,U189,Money Sent,Investment,12284.09,26208.79,Wallet,Failed,Zomato,Hyderabad
TXN00048,2023-03-01,2023,Mar,1,U18,Money Added,Shopping,11174.42,33337.19,Bank Transfer,Failed,-,Kolkata
TXN00049,2024-01-07,2024,Jan,7,U103,Money Sent,Investment,18272.75,46114.27,Bank Transfer,Pending,BigBasket,Hyderabad
TXN00050,2023-06-28,2023,Jun,28,U89,Money Added,Bills,14419.59,7670.88,UPI ID,Failed,-,Kolkata
TXN00051,2023-10-12,2023,Oct,12,U26,Money Sent,Investment,8653.06,19090.74,Bank Transfer,Pending,Flipkart,Pune
TXN00052,2024-08-30,2024,Aug,30,U101,Money Sent,Bills,7309.13,42305.61,Bank Transfer,Success,Uber,Kolkata
TXN00053,2023-05-01,2023,May,1,U112,Money Spent,Bills,17274.7,38378.97,Bank Transfer,Failed,Netflix,Delhi
TXN00054,2023-04-26,2023,Apr,26,U131,Money Sent,Travel,19782.72,4342.88,Mobile No,Failed,Flipkart,Kolkata
TXN00055,2023-03-15,2023,Mar,15,U38,Money Sent,Entertainment,18849.74,25224.34,Bank Transfer,Success,IRCTC,Pune
TXN00056,2024-03-11,2024,Mar,11,U140,Money Added,Entertainment,13038.69,37000.28,Mobile No,Success,-,Delhi
TXN00057,2023-08-26,2023,Aug,26,U96,Money Added,Bills,121.38,32205.62,QR Code,Failed,-,Chennai
TXN00058,2023-05-25,2023,May,25,U143,Money Sent,Groceries,16699.66,43377.64,Wallet,Success,Netflix,Pune
TXN00059,2023-07-24,2023,Jul,24,U78,Money Added,Investment,1119.06,18645.34,UPI ID,Success,-,Bangalore
TXN00060,2023-03-23,2023,Mar,23,U124,Money Sent,Cashback,18160.31,48850.06,Mobile No,Failed,Zomato,Pune
TXN00061,2024-10-15,2024,Oct,15,U170,Money Spent,Cashback,9954.4,22919.91,Mobile No,Failed,Flipkart,Kolkata
TXN00062,2025-02-03,2025,Feb,3,U177,Money Added,Investment,736.97,16313.07,Wallet,Pending,-,Kolkata
TXN00063,2023-08-22,2023,Aug,22,U66,Money Spent,Rent,19295.54,25900.32,QR Code,Pending,IRCTC,Kolkata
TXN00064,2024-02-29,2024,Feb,29,U96,Money Spent,Food,15013.59,4013.8,Mobile No,Failed,IRCTC,Chennai
TXN00065,2024-10-12,2024,Oct,12,U58,Money Added,Travel,18101.51,7567.23,Bank Transfer,Pending,-,Pune
TXN00066,2024-12-29,2024,Dec,29,U182,Money Spent,Rent,18609.19,12245.13,QR Code,Pending,Swiggy,Pune
TXN00067,2023-12-25,2023,Dec,25,U199,Money Spent,Bills,11339.46,43597.48,Mobile No,Success,Netflix,Bangalore
TXN00068,2024-12-08,2024,Dec,8,U17,Money Spent,Rent,13825.9,26363.81,Mobile No,Pending,Zomato,Hyderabad
TXN00069,2023-06-11,2023,Jun,11,U31,Money Sent,Investment,9450.48,37283.65,Wallet,Failed,Netflix,Delhi
TXN00070,2023-01-30,2023,Jan,30,U85,Money Spent,Bills,7769.08,22967.7,Bank Transfer,Success,Electricity Board,Kolkata
TXN00071,2024-08-30,2024,Aug,30,U52,Money Sent,Investment,18165.67,39810.01,Bank Transfer,Pending,IRCTC,Bangalore
TXN00072,2023-03-16,2023,Mar,16,U47,Money Added,Shopping,18338.87,28645.46,Wallet,Success,-,Hyderabad
TXN00073,2024-01-28,2024,Jan,28,U84,Money Spent,Investment,8845.38,16433.87,Mobile No,Pending,Swiggy,Pune
TXN00074,2023-09-24,2023,Sep,24,U178,Money Sent,Shopping,7022.0,18996.0,Bank Transfer,Pending,Uber,Hyderabad
TXN00075,2023-09-01,2023,Sep,1,U6,Money Spent,Entertainment,6195.76,45209.34,Bank Transfer,Pending,Amazon,Hyderabad
TXN00076,2023-11-22,2023,Nov,22,U130,Money Sent,Rent,10069.79,38683.95,Wallet,Success,Uber,Kolkata
TXN00077,2025-03-05,2025,Mar,5,U90,Money Spent,Shopping,15866.66,32477.07,Wallet,Failed,Zomato,Pune
TXN00078,2023-03-12,2023,Mar,12,U26,Money Added,Travel,9811.85,17536.33,UPI ID,Pending,-,Kolkata
TXN00079,2024-01-01,2024,Jan,1,U47,Money Added,Rent,19714.17,7261.77,Wallet,Pending,-,Mumbai
TXN00080,2023-01-29,2023,Jan,29,U105,Money Added,Groceries,3405.96,40970.71,Mobile No,Pending,-,Mumbai
TXN00081,2023-05-22,2023,May,22,U124,Money Sent,Entertainment,8007.01,36727.71,Mobile No,Pending,BigBasket,Bangalore
TXN00082,2024-10-08,2024,Oct,8,U61,Money Sent,Shopping,16006.61,12462.33,Bank Transfer,Failed,BigBasket,Chennai
TXN00083,2024-11-24,2024,Nov,24,U21,Money Sent,Cashback,8681.47,31043.78,Bank Transfer,Pending,Electricity Board,Delhi
TXN00084,2025-01-06,2025,Jan,6,U63,Money Spent,Cashback,8893.33,8440.26,QR Code,Success,Zomato,Hyderabad
TXN00085,2024-01-03,2024,Jan,3,U118,Money Added,Food,6209.2,32802.09,Wallet,Failed,-,Kolkata
TXN00086,2023-04-23,2023,Apr,23,U45,Money Sent,Shopping,5459.66,5226.9,UPI ID,Pending,IRCTC,Kolkata
TXN00087,2023-06-02,2023,Jun,2,U133,Money Added,Entertainment,19156.45,25500.78,QR Code,Failed,-,Chennai
TXN00088,2024-09-23,2024,Sep,23,U90,Money Sent,Groceries,18042.15,32627.96,QR Code,Pending,Swiggy,Kolkata
TXN00089,2024-05-16,2024,May,16,U2,Money Spent,Rent,828.28,8250.05,Wallet,Failed,IRCTC,Delhi
TXN00090,2025-03-01,2025,Mar,1,U61,Money Sent,Travel,584.58,21682.77,UPI ID,Success,IRCTC,Delhi
TXN00091,2024-11-14,2024,Nov,14,U61,Money Sent,Entertainment,994.45,21595.29,Mobile No,Success,Swiggy,Hyderabad
TXN00092,2023-09-13,2023,Sep,13,U135,Money Spent,Bills,11749.87,6994.0,Wallet,Pending,Amazon,Pune
TXN00093,2025-01-24,2025,Jan,24,U6,Money Sent,Rent,11193.53,4554.57,Bank Transfer,Failed,Zomato,Hyderabad
TXN00094,2025-01-04,2025,Jan,4,U108,Money Spent,Travel,18802.0,47127.94,Wallet,Pending,Netflix,Delhi
TXN00095,2023-11-03,2023,Nov,3,U152,Money Sent,Shopping,14259.99,3055.45,UPI ID,Failed,Amazon,Pune
TXN00096,2024-12-27,2024,Dec,27,U105,Money Spent,Cashback,12584.18,18886.17,Bank Transfer,Success,Netflix,Pune
TXN00097,2023-01-03,2023,Jan,3,U179,Money Added,Shopping,19245.37,31058.43,QR Code,Failed,-,Pune
TXN00098,2023-01-27,2023,Jan,27,U106,Money Sent,Entertainment,9560.65,13763.77,Bank Transfer,Success,Zomato,Kolkata
TXN00099,2025-01-04,2025,Jan,4,U55,Money Added,Groceries,19660.68,46109.47,Bank Transfer,Failed,-,Kolkata
TXN00100,2024-06-19,2024,Jun,19,U13,Money Spent,Groceries,7708.55,25849.84,QR Code,Pending,Zomato,Bangalore
TXN00101,2025-03-03,2025,Mar,3,U147,Money Spent,Bills,4921.72,26976.26,UPI ID,Failed,Netflix,Kolkata
TXN00102,2024-08-31,2024,Aug,31,U121,Money Spent,Cashback,503.66,6098.56,Wallet,Success,Zomato,Kolkata
TXN00103,2024-10-06,2024,Oct,6,U58,Money Added,Bills,4472.0,36665.49,UPI ID,Pending,-,Delhi
TXN00104,2024-11-07,2024,Nov,7,U123,Money Sent,Entertainment,15454.42,36895.53,UPI ID,Failed,Electricity Board,Chennai
TXN00105,2025-02-06,2025,Feb,6,U125,Money Added,Shopping,17285.23,14278.25,UPI ID,Success,-,Hyderabad
TXN00106,2024-10-09,2024,Oct,9,U88,Money Sent,Investment,3130.87,14885.6,Bank Transfer,Failed,Flipkart,Kolkata
TXN00107,2023-06-19,2023,Jun,19,U173,Money Sent,Shopping,19560.5,2392.01,Wallet,Success,Uber,Bangalore
TXN00108,2023-12-17,2023,Dec,17,U65,Money Added,Travel,17405.17,42154.41,Mobile No,Success,-,Mumbai
TXN00109,2024-02-03,2024,Feb,3,U69,Money Sent,Travel,8939.62,2897.71,Mobile No,Pending,Netflix,Hyderabad
TXN00110,2024-10-22,2024,Oct,22,U133,Money Spent,Entertainment,14124.63,37828.49,QR Code,Success,Swiggy,Bangalore
TXN00111,2023-08-19,2023,Aug,19,U50,Money Spent,Investment,3280.0,43122.5,QR Code,Pending,Netflix,Chennai
TXN00112,2024-06-18,2024,Jun,18,U63,Money Added,Entertainment,3143.68,5948.49,QR Code,Success,-,Pune
TXN00113,2024-02-23,2024,Feb,23,U41,Money Added,Entertainment,17564.44,21962.73,QR Code,Pending,-,Pune
TXN00114,2023-05-20,2023,May,20,U36,Money Spent,Shopping,667.96,8868.63,QR Code,Pending,Uber,Delhi
TXN00115,2023-01-07,2023,Jan,7,U198,Money Spent,Food,19809.35,49798.47,Wallet,Pending,Netflix,Kolkata
TXN00116,2023-04-02,2023,Apr,2,U38,Money Sent,Cashback,3149.94,42145.45,Wallet,Failed,BigBasket,Pune
TXN00117,2024-06-10,2024,Jun,10,U34,Money Added,Food,14230.84,7993.74,UPI ID,Pending,-,Delhi
TXN00118,2023-02-24,2023,Feb,24,U196,Money Spent,Bills,5523.3,31358.16,UPI ID,Success,Swiggy,Pune
TXN00119,2023-05-08,2023,May,8,U163,Money Added,Shopping,4880.32,41028.32,UPI ID,Success,-,Kolkata
TXN00120,2023-03-06,2023,Mar,6,U135,Money Spent,Groceries,2652.19,7799.27,UPI ID,Failed,IRCTC,Chennai
TXN00121,2024-10-28,2024,Oct,28,U33,Money Spent,Shopping,11118.02,38301.78,Bank Transfer,Failed,Zomato,Pune
TXN00122,2023-05-07,2023,May,7,U22,Money Spent,Entertainment,16798.2,11775.6,UPI ID,Success,Uber,Bangalore
TXN00123,2023-11-13,2023,Nov,13,U66,Money Added,Investment,5331.14,32874.99,QR Code,Failed,-,Kolkata
TXN00124,2023-03-05,2023,Mar,5,U81,Money Sent,Cashback,7027.52,15924.52,UPI ID,Success,Electricity Board,Delhi
TXN00125,2025-01-02,2025,Jan,2,U7,Money Sent,Cashback,10301.18,49387.38,Wallet,Success,Uber,Bangalore
TXN00126,2024-05-01,2024,May,1,U59,Money Added,Cashback,13503.88,31434.89,Wallet,Failed,-,Bangalore
TXN00127,2025-01-23,2025,Jan,23,U16,Money Spent,Travel,4449.66,23154.77,UPI ID,Pending,Zomato,Mumbai
TXN00128,2023-05-23,2023,May,23,U2,Money Added,Bills,10002.17,25222.46,Mobile No,Success,-,Pune
TXN00129,2023-10-03,2023,Oct,3,U87,Money Sent,Shopping,8844.79,13125.68,Bank Transfer,Failed,Electricity Board,Mumbai
TXN00130,2023-03-19,2023,Mar,19,U82,Money Added,Cashback,10103.72,16809.76,UPI ID,Success,-,Kolkata
TXN00131,2024-02-09,2024,Feb,9,U124,Money Spent,Groceries,19175.94,31824.75,QR Code,Pending,Swiggy,Hyderabad
TXN00132,2024-06-13,2024,Jun,13,U172,Money Added,Entertainment,1670.88,39636.11,Wallet,Pending,-,Bangalore
TXN00133,2023-04-04,2023,Apr,4,U107,Money Added,Rent,1984.66,8959.04,QR Code,Pending,-,Kolkata
TXN00134,2023-11-11,2023,Nov,11,U186,Money Added,Bills,2997.67,43958.78,QR Code,Success,-,Kolkata
TXN00135,2023-09-16,2023,Sep,16,U48,Money Sent,Entertainment,18528.39,3589.58,Bank Transfer,Pending,Zomato,Delhi
TXN00136,2025-03-05,2025,Mar,5,U135,Money Added,Food,8360.13,12416.5,QR Code,Pending,-,Bangalore
TXN00137,2024-05-24,2024,May,24,U56,Money Spent,Entertainment,7768.0,18350.07,UPI ID,Failed,Electricity Board,Mumbai
TXN00138,2023-10-12,2023,Oct,12,U146,Money Sent,Bills,7578.11,46044.94,Wallet,Failed,Swiggy,Pune
TXN00139,2024-05-28,2024,May,28,U140,Money Added,Rent,98.88,22446.22,Wallet,Pending,-,Pune
TXN00140,2024-01-05,2024,Jan,5,U83,Money Added,Shopping,3459.57,43025.35,Bank Transfer,Success,-,Chennai
TXN00141,2023-12-23,2023,Dec,23,U23,Money Sent,Investment,19511.94,13842.16,UPI ID,Failed,Flipkart,Hyderabad
TXN00142,2025-02-02,2025,Feb,2,U83,Money Spent,Rent,17072.48,3825.14,UPI ID,Pending,Flipkart,Chennai
TXN00143,2024-12-07,2024,Dec,7,U43,Money Sent,Food,19494.21,27188.0,Bank Transfer,Failed,Netflix,Mumbai
